Country,Defense,Education,Health,Interest_Payments,Infrastructure,Agriculture,State_Transfers,Social_Welfare,Administration_and_Others
Argentina,4.640370370370371,15.038395061728396,17.303950617283952,10.010246913580247,13.252962962962963,7.949629629629629,10.601358024691358,10.601358024691358,10.601358024691358
Australia,6.252716049382716,12.901358024691358,15.528888888888888,5.0,9.049259259259259,6.031111111111111,12.062345679012346,21.11135802469136,12.062345679012346
Bangladesh,10.19037037037037,9.926172839506172,4.721975308641976,19.172716049382718,16.794074074074075,8.397530864197531,8.397530864197531,8.397530864197531,13.99753086419753
Brazil,15.0,5.0,5.0,5.0,21.0,10.5,10.5,10.5,17.5
Canada,15.0,5.0,15.799135802469136,5.0,8.882345679012344,5.920987654320987,11.842716049382716,20.718395061728394,11.842716049382716
Chile,12.584320987654321,15.240370370370371,12.456913580246916,4.318765432098766,13.850123456790122,8.311851851851852,11.080617283950616,11.080617283950616,11.080617283950616
China,11.236363636363636,11.19025974025974,6.9480519480519485,5.0,19.6874025974026,9.843506493506494,9.843506493506494,9.843506493506494,16.40961038961039
Colombia,10.801604938271604,15.695802469135801,15.455802469135804,14.556172839506173,10.872469135802469,6.525679012345679,8.699012345679012,8.699012345679012,8.699012345679012
Egypt,8.56358024691358,14.199753086419754,6.27037037037037,12.565555555555557,17.517530864197532,8.760864197530864,8.760864197530864,8.760864197530864,14.600000000000001
France,4.878024691358025,10.479382716049383,5.0,5.0,11.197530864197532,7.463456790123456,14.92679012345679,26.12456790123457,14.92679012345679
Germany,3.6228205128205127,9.841153846153846,16.67705128205128,3.419102564102564,9.966666666666667,6.64397435897436,13.286923076923078,23.254615384615388,13.286923076923078
Greece,8.751234567901236,7.560740740740742,9.667407407407406,9.350493827160493,9.698271604938272,6.466049382716049,12.93530864197531,22.633333333333333,12.93530864197531
India,12.3865,13.520125000000002,3.198,17.827625,15.920125000000002,7.959875000000001,7.959875000000001,7.959875000000001,13.26525
Indonesia,6.202222222222222,8.61111111111111,4.498765432098765,10.169629629629629,21.156296296296297,10.578765432098765,10.578765432098765,10.578765432098765,17.630493827160493
Iran,13.974074074074075,19.05493827160494,12.604074074074074,2.4260493827160494,12.986296296296297,2.59641975308642,12.986296296296297,10.390246913580247,12.986296296296297
Ireland,2.1133333333333333,13.458024691358023,16.159135802469137,10.494320987654321,8.665802469135803,5.777283950617283,11.554074074074075,20.220123456790123,11.554074074074075
Israel,14.226543209876542,13.947407407407407,9.878271604938272,13.493333333333334,12.112345679012346,7.2659259259259255,9.68925925925926,9.68925925925926,9.68925925925926
Italy,3.6024691358024694,8.647654320987655,5.0,10.950246913580248,10.771358024691358,7.180246913580247,14.359876543209877,25.132716049382715,14.359876543209877
Japan,2.866375,13.472,17.025375,5.0,9.24675,6.16475,12.329375,21.576375000000002,12.329375
Kazakhstan,4.620246913580247,15.047037037037036,9.401728395061728,3.8371604938271604,16.773703703703703,3.3564197530864197,16.773703703703703,13.41753086419753,16.773703703703703
Malaysia,7.31358024691358,19.13111111111111,5.403086419753087,13.687901234567901,16.34259259259259,8.171358024691358,8.171358024691358,8.171358024691358,13.618641975308643
Mexico,1.8614814814814815,14.731728395061728,10.080617283950616,15.942592592592591,17.215555555555557,8.608148148148148,8.608148148148148,8.608148148148148,14.344320987654319
Netherlands,4.1843209876543215,11.495925925925926,13.07259259259259,4.481728395061729,10.015555555555556,6.676419753086419,13.354320987654322,23.366296296296298,13.354320987654322
New Zealand,4.052222222222222,11.23925925925926,15.692962962962964,7.709135802469136,9.197037037037038,6.129506172839506,12.261851851851853,21.455555555555556,12.261851851851853
Nigeria,2.7658024691358025,8.043827160493828,2.975185185185185,5.0,24.36753086419753,12.183827160493827,12.183827160493827,12.183827160493827,20.302345679012348
Pakistan,22.91160493827161,9.295061728395062,5.599876543209876,5.0,17.156913580246915,8.581234567901236,8.581234567901236,8.581234567901236,14.298024691358027
Peru,7.709382716049383,15.514444444444445,11.71283950617284,11.724074074074073,13.337037037037037,8.001851851851852,10.66925925925926,10.66925925925926,10.66925925925926
Philippines,10.001111111111111,15.36111111111111,6.7649382716049375,32.28567901234568,10.674074074074074,5.34,5.34,5.34,8.894444444444446
Poland,4.407777777777778,14.70888888888889,9.002592592592594,3.122962962962963,17.188765432098766,10.314074074074075,13.749753086419753,13.749753086419753,13.749753086419753
Portugal,3.8841975308641974,8.946913580246914,13.86888888888889,7.604814814814815,9.853333333333333,6.569135802469136,13.137901234567902,22.991481481481483,13.137901234567902
Romania,9.267283950617283,12.840864197530866,5.0,3.9835802469135806,17.22728395061728,10.339012345679011,13.78283950617284,13.78283950617284,13.78283950617284
Russia,8.722098765432099,10.041851851851852,9.984444444444444,12.35246913580247,14.721234567901236,8.83679012345679,11.782716049382715,11.782716049382715,11.782716049382715
Saudi Arabia,31.925185185185185,15.803333333333333,9.587407407407408,2.20679012345679,10.120864197530864,2.0228395061728395,10.120864197530864,8.097654320987655,10.120864197530864
Singapore,28.13728395061728,20.30901234567901,9.036419753086419,7.552716049382716,8.74246913580247,5.244320987654321,6.993333333333334,6.993333333333334,6.993333333333334
South Africa,4.902345679012345,19.995185185185186,12.70037037037037,10.718518518518518,15.504320987654323,7.752222222222223,7.752222222222223,7.752222222222223,12.92
South Korea,17.379367088607594,5.0,9.467468354430379,4.37,15.94620253164557,9.568607594936708,12.757215189873417,12.757215189873417,12.757215189873417
Spain,15.0,9.498024691358026,13.086913580246913,5.0,8.61111111111111,5.7387654320987656,11.483333333333333,20.094567901234566,11.483333333333333
Sweden,3.4849382716049377,11.190493827160495,13.294074074074073,5.625432098765432,9.959506172839507,6.640864197530864,13.281728395061728,23.242098765432097,13.281728395061728
Switzerland,4.208765432098765,15.538518518518517,8.725432098765433,2.5004938271604935,10.353333333333333,6.904567901234568,13.805925925925926,24.16320987654321,13.805925925925926
Thailand,10.884567901234568,18.807530864197528,10.376543209876543,9.013827160493827,15.274691358024691,7.63716049382716,7.63716049382716,7.63716049382716,12.730864197530865
Turkey,15.0,12.759753086419753,8.135308641975309,9.231111111111112,13.72074074074074,8.231728395061728,10.97469135802469,10.97469135802469,10.97469135802469
UK,9.305494505494506,12.410769230769231,16.837912087912088,8.298241758241758,7.972087912087913,5.315824175824176,10.632087912087911,18.604065934065936,10.632087912087911
USA,9.801978021978023,13.377692307692309,17.384175824175824,9.24054945054945,7.5285714285714285,5.019010989010989,10.037692307692307,17.57021978021978,10.037692307692307
United Arab Emirates,19.113580246913582,13.648641975308642,8.257654320987655,0.1334567901234568,14.71493827160494,2.9458024691358027,14.71493827160494,11.768888888888888,14.71493827160494
Vietnam,7.712345679012346,17.561234567901234,9.362222222222222,5.0,18.108395061728395,9.050617283950617,9.050617283950617,9.050617283950617,15.089135802469135
